product_id,review_score,review_count
1,1.7,220
2,3.2,903
3,4.5,163
4,3.9,951
5,4.2,220
6,3.6,270
7,3.8,632
8,4.4,906
9,2.0,848
10,3.0,400
11,1.9,182
12,5.0,991
13,4.8,618
14,1.2,729
15,3.8,205
16,4.7,582
17,1.7,556
18,3.3,841
19,4.7,813
20,1.1,228
21,3.8,696
22,2.2,619
23,4.7,596
24,4.9,850
25,4.8,250
26,2.9,875
27,4.4,441
28,4.4,533
29,2.3,196
30,4.3,690
31,1.1,929
32,3.4,987
33,1.9,519
34,1.5,70
35,1.3,639
36,3.8,399
37,2.4,978
38,3.9,672
39,1.3,760
40,2.3,203
41,3.2,148
42,4.2,472
43,2.3,655
44,3.5,944
45,4.5,199
46,3.5,917
47,1.9,426
48,1.1,666
49,4.5,492
50,1.1,888
51,4.5,896
52,3.1,142
53,4.8,313
54,4.2,165
55,5.0,314
56,2.4,21
57,4.1,82
58,2.6,581
59,2.9,131
60,3.5,599
61,4.5,730
62,4.9,933
63,4.1,984
64,2.7,305
65,2.7,915
66,4.0,371
67,2.0,857
68,1.4,853
69,2.4,384
70,2.1,908
71,2.2,445
72,1.9,425
73,1.2,161
74,1.1,178
75,5.0,629
76,2.7,708
77,2.5,895
78,3.7,490
79,1.9,327
80,4.8,598
81,4.1,289
82,1.4,593
83,2.7,664
84,4.5,573
85,4.8,573
86,2.9,354
87,3.5,28
88,1.7,954
89,5.0,43
90,1.9,681
91,4.8,423
92,3.6,598
93,3.4,177
94,3.1,529
95,1.9,610
96,1.7,966
97,1.9,494
98,1.7,198
99,4.1,610
100,2.4,577
101,1.2,842
102,4.9,853
103,4.5,517
104,4.7,514
105,5.0,22
106,1.7,112
107,2.6,57
108,4.0,66
109,3.8,842
110,1.6,98
111,4.3,144
112,1.9,880
113,1.9,435
114,3.1,637
115,3.4,679
116,3.3,86
117,1.4,588
118,4.5,344
119,2.1,936
120,1.5,294
121,4.6,956
122,4.8,571
123,4.4,650
124,4.2,611
125,3.6,704
126,3.2,243
127,1.3,831
128,2.6,561
129,2.5,960
130,2.0,32
131,3.9,391
132,3.0,277
133,1.3,532
134,1.9,154
135,3.7,383
136,1.3,68
137,4.4,878
138,3.0,884
139,2.9,214
140,3.4,655
141,4.3,376
142,2.4,744
143,3.7,213
144,3.3,79
145,2.1,726
146,4.5,628
147,4.2,604
148,3.6,782
149,4.4,923
150,4.5,381
151,3.8,680
152,4.3,58
153,3.8,796
154,3.7,26
155,3.5,881
156,4.0,447
157,1.6,66
158,4.5,921
159,4.5,760
160,1.1,254
161,4.3,899
162,1.5,968
163,2.3,44
164,4.0,97
165,1.6,554
166,4.3,227
167,4.3,774
168,3.0,679
169,1.0,436
170,2.1,791
171,3.5,601
172,4.9,379
173,3.5,178
174,2.0,427
175,3.5,915
176,3.2,709
177,4.1,307
178,1.4,779
179,4.0,504
180,3.2,268
181,4.9,586
182,2.4,8
183,3.5,920
184,4.7,508
185,1.4,476
186,4.7,297
187,3.8,164
188,1.3,485
189,2.2,597
190,3.8,72
191,1.3,567
192,3.3,905
193,2.4,559
194,3.5,911
195,1.2,944
196,4.5,238
197,4.9,104
198,4.9,210
199,4.0,554
200,1.5,828
201,4.0,468
202,1.1,454
203,1.1,268
204,2.3,386
205,3.0,775
206,4.1,848
207,3.7,387
208,2.8,877
209,2.1,259
210,5.0,283
211,2.7,626
212,2.8,875
213,1.7,40
214,4.2,486
215,3.8,929
216,1.9,220
217,1.3,129
218,3.7,520
219,3.6,613
220,2.1,928
221,4.8,892
222,1.6,688
223,2.7,619
224,4.8,613
225,2.7,260
226,3.6,990
227,2.6,966
228,2.1,366
229,4.9,758
230,2.6,787
231,4.6,544
232,1.9,649
233,1.9,524
234,1.1,907
235,3.6,814
236,2.5,887
237,4.5,16
238,2.9,129
239,4.9,575
240,1.7,109
241,4.5,887
242,4.1,533
243,4.1,670
244,4.4,269
245,4.0,162
246,3.5,260
247,1.5,924
248,1.1,102
249,4.7,506
250,3.5,735
251,4.2,571
252,2.9,247
253,1.5,640
254,1.5,795
255,3.7,837
256,2.7,537
257,1.8,131
258,3.0,353
259,1.3,196
260,3.3,793
261,2.1,916
262,4.2,930
263,2.2,666
264,2.8,382
265,1.0,645
266,1.3,227
267,2.6,701
268,2.9,476
269,3.4,477
270,2.2,265
271,3.8,372
272,4.4,486
273,4.1,434
274,1.2,646
275,2.9,211
276,1.4,572
277,2.0,940
278,4.9,377
279,1.6,395
280,3.0,450
281,3.5,943
282,3.8,364
283,3.2,876
284,1.0,457
285,2.3,725
286,3.1,728
287,1.4,226
288,2.4,982
289,1.1,131
290,1.3,588
291,2.6,476
292,1.5,798
293,3.3,986
294,3.8,277
295,4.2,156
296,1.8,760
297,1.7,218
298,1.4,190
299,3.5,417
300,3.8,981
301,1.1,675
302,4.7,692
303,1.2,546
304,3.2,41
305,3.8,307
306,4.5,943
307,3.9,338
308,4.2,314
309,2.4,75
310,4.3,953
311,1.3,279
312,4.6,176
313,3.2,896
314,4.3,662
315,2.8,273
316,3.6,837
317,3.1,620
318,3.9,651
319,1.3,862
320,1.2,783
321,2.0,859
322,1.6,931
323,4.5,289
324,1.9,724
325,4.9,893
326,2.3,272
327,1.7,930
328,4.2,66
329,3.6,483
330,3.0,936
331,3.2,248
332,3.9,156
333,1.9,47
334,5.0,935
335,4.9,454
336,3.6,201
337,1.8,660
338,3.7,124
339,1.3,1
340,1.1,968
341,2.0,759
342,2.9,855
343,4.5,640
344,3.9,191
345,4.0,579
346,2.7,516
347,2.4,442
348,2.5,921
349,5.0,815
350,1.2,806
351,4.5,143
352,3.3,191
353,2.8,533
354,3.9,227
355,2.9,313
356,4.5,629
357,4.6,949
358,2.7,302
359,2.1,654
360,3.4,996
361,4.6,460
362,1.8,401
363,3.5,551
364,3.5,393
365,3.9,867
366,1.5,764
367,3.9,845
368,4.6,207
369,1.7,210
370,2.0,115
371,4.9,737
372,1.7,646
373,4.4,251
374,3.0,219
375,2.0,407
376,4.5,443
377,2.8,603
378,3.1,354
379,2.4,888
380,3.4,558
381,1.7,550
382,2.6,142
383,4.9,612
384,2.0,501
385,3.6,840
386,2.3,702
387,4.1,547
388,1.5,659
389,4.9,542
390,2.8,846
391,1.9,507
392,1.3,596
393,1.7,881
394,3.1,281
395,2.3,424
396,4.3,856
397,2.7,270
398,2.0,154
399,3.5,614
400,3.8,727
401,1.7,662
402,1.7,944
403,1.1,83
404,3.9,622
405,3.7,947
406,2.9,899
407,4.4,426
408,4.2,275
409,3.3,713
410,4.5,284
411,1.8,980
412,1.4,173
413,2.1,327
414,1.2,718
415,3.1,63
416,4.7,73
417,1.2,763
418,1.5,636
419,2.8,375
420,4.7,633
421,2.3,508
422,3.0,787
423,1.2,943
424,1.6,398
425,4.9,120
426,4.9,934
427,1.0,437
428,4.8,829
429,3.6,676
430,4.5,936
431,2.8,465
432,3.1,286
433,3.0,265
434,3.7,320
435,1.6,673
436,1.1,376
437,2.2,820
438,3.8,89
439,1.8,654
440,3.7,203
441,4.9,821
442,1.4,739
443,3.7,955
444,2.8,334
445,4.5,222
446,1.7,41
447,3.8,708
448,4.4,68
449,4.8,988
450,3.7,776
451,3.0,514
452,3.5,873
453,4.5,637
454,3.3,622
455,1.1,598
456,4.7,937
457,3.8,632
458,3.7,127
459,1.9,255
460,3.6,695
461,2.6,16
462,3.6,477
463,1.4,62
464,3.6,881
465,5.0,432
466,1.2,670
467,4.9,268
468,2.6,35
469,4.5,779
470,4.1,576
471,3.3,494
472,4.0,562
473,4.5,469
474,2.6,767
475,2.3,661
476,3.7,325
477,4.2,304
478,4.0,276
479,4.2,869
480,2.7,963
481,4.3,684
482,1.5,929
483,3.2,201
484,1.0,445
485,2.3,905
486,2.5,324
487,2.6,35
488,3.8,977
489,2.6,482
490,2.8,728
491,2.0,480
492,2.5,65
493,1.9,8
494,1.3,301
495,3.4,343
496,3.7,431
497,3.5,424
498,2.9,332
499,2.5,438
500,4.5,588
